id,Product_code,UPC_code,Manufacturer,Model,Product_name,shortDescription,longDescription,additionalImageURLs,Product_type_code,Image_URL,Thumbnail,Color,Selling_Price,Regular_Price,Primary_Category_ID,Sales_rank_short,Sales_rank_medium,Sales_rank_long,Bestseller_rank,OnSale,TopRated,AvailableInStore,FreeShipping,AverageReviewRating,ReviewCount,created_at,updated_at,cat1,cat2,cat3,cat4,cat5
11,2961433,8.78E+11,V-MODA,C-BP-BLACK,V-MODA - BoomPro Wired Microphone,Compatible with most headphones with 3.5mm input; low-noise engineering; omnidirectional pattern; 24k gold-plated 3.5mm plug; aramid fiber-reinforced cable; SteelFlex arm,"Equip your headphones for in-game chats and crystal-clear voice calls with this V-MODA BoomPro Wired Microphone. It connects to a 3.5mm input of most headphones and comes with a Y adapter for compatibility with computers, and the SteelFlex arm provides flexible positioning. Adjust this V-MODA BoomPro Wired Microphone easily via the in-line mute and volume controls.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961433_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961433fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961433_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961433_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961433cv11d.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961433_ra.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961433_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2961/2961433_s.gif,Black,29.98,29.98,63,17234,20851,19852,19896,0,1,1,0,4.6,17,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,Headphone Accessories,,
12,3427017,6.15E+11,Sennheiser,RS 195,Sennheiser - RS 195 RF Wireless Over-the-Ear Headphones - Black,Wireless with wired connection also available via provided audio (optical) cableRechargeable battery that lasts up to 18 hoursStereo output modeWireless headphones for TV,"Enhance your audio experience with these Sennheiser wireless headphones. High-performance transducers deliver clear, immersive sound, while the seven audio profiles and listening modes let you customize your experience for any situation. These Sennheiser wireless headphones have an ergonomic design and plush ear cups that keep you comfortable while you listen.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3427/3427017_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3427/3427017fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3427/3427017_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3427/3427017_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3427/3427017cv1d.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3427/3427017_ra.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3427/3427017ld.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3427/3427017_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3427/3427017_s.gif,Black,449.98,449.98,63,NULL,NULL,NULL,NULL,0,1,0,1,4.6,30,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
13,3497001,6.89E+11,MEE audio,EARPHONE-M6-BK-MEE,MEE audio - M6 Sports Wired In-Ear Headphones - Black,Built-in microphoneMemory wire technologySweat-resistant design,"These MEE audio M6 sports earphones utilize an over-the-ear design with memory wire technology to provide a locked-in, comfortable, noise-isolating in-ear fit for any activity while delivering clear and dynamic sound. The lab-tested sweat- and water-resistant design allows you to forget about your earphones and concentrate on your workout. Whatever activity you choose, the M6 will match your pace.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3497/3497001_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3497/3497001fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3497/3497001_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3497/3497001_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3497/3497001cv11d.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3497/3497001_rd.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3497/3497001_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3497/3497001_s.gif,Black,18.99,18.99,63,NULL,NULL,29843,32063,0,0,1,0,4.3,66,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
14,3774098,6.15E+11,Sennheiser,M2 AEBT BLACK,Sennheiser - Momentum (M2) Wireless Over-the-Ear Headphones - Black,SENNHEISER Momentum (M2) Wireless Over-the-Ear Headphones: NoiseGard and VoiceMax technologies; sound isolating; wireless design with Bluetooth 4.0; NFC connectivity; leather ear pads and headband,"Enjoy enhanced audio in comfort with these Sennheiser Momentum M2 AEBT BLACK over-the-ear headphones, which feature NoiseGard active noise cancellation for a full sound that's free of outside noises. The wireless design easily connects to your device.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3774/3774098_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3774/3774098fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3774/3774098_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3774/3774098_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3774/3774098cv11d.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3774/3774098_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3774/3774098_s.gif,Black,399.98,399.98,63,NULL,NULL,106805,109819,0,1,1,1,4.7,127,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
15,4085054,468380718812,JVC,HAECX20W,JVC - Wired Ear Clip-On Earbud Headphones - White,Sound isolating; 11mm drivers; neodymium magnets; IPX2 splash-proof rating; rubber ear hook; includes 3 sizes of silicone ear pieces,"Work out while listening to your favorite tunes with these JVC Sport HAECX20W clip-on headphones, which are IPX2 splash-proof and feature soft rubber ear hooks to help keep the headphones in place as you exercise. The 11mm drivers offer quality audio.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085054_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085054fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085054_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085054_sb.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085054_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085054_s.gif,White,7.49,19.99,63,17550,23831,19873,20381,1,0,1,1,4.1,4081,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
16,4085178,468380718502,JVC,HAECX20B,JVC - Wired Ear Clip-On Earbud Headphones - Black,Sound isolating; 11mm drivers; neodymium magnets; IPX2 splash-proof rating; rubber ear hook; includes 3 sizes of silicone ear pieces,"Work out while listening to your favorite tunes with these JVC Sport HAECX20B clip-on headphones, which are IPX2 splash-proof and feature soft rubber ear hooks to help keep the headphones in place as you exercise. The 11mm drivers offer quality audio.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085178_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085178fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085178_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085178_sb.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085178_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085178_s.gif,Black,19.99,19.99,63,1475,1369,1964,1819,0,0,1,1,4.1,4081,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
17,4085187,468380718432,JVC,HAECX20A,JVC - Wired Ear Clip-On Earbud Headphones - Blue,Sound isolating; 11mm drivers; neodymium magnets; IPX2 splash-proof rating; rubber ear hook; includes 3 sizes of silicone ear pieces,"Work out while listening to your favorite tunes with these JVC Sport HAECX20A clip-on headphones, which are IPX2 splash-proof and feature soft rubber ear hooks to help keep the headphones in place as you exercise. The 11mm drivers offer quality audio.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085187_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085187fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085187_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085187_sb.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085187_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4085/4085187_s.gif,Blue,19.99,19.99,63,3553,3201,4273,4034,0,0,1,1,4.1,4081,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
18,4242500,217817658515,Bose?,QUIETCOMFORT 20 HEADPHONES IOS,Bose? - QuietComfort? 20 Headphones (iOS) - Black,Acoustic Noise Cancelling&#174;; TriPort&#174; headphone technology; Aware mode; StayHear&#174;+ ear tips; in-line microphone and remote for Apple&#174; iOS devices,"Shut out the world and lose yourself in your music &#174; or let the world in. It's your choice with the first in-ear noise cancelling headphones from Bose. The QuietComfort&#174; 20 Acoustic Noise Cancelling&#174; headphones let you enjoy better sound every day, everywhere you go. Turn on noise cancelling to reduce surrounding distractions and focus on your music. Or, at the touch of a button, activate Aware mode to hear what's happening around you. StayHear&#174;+ tips provide a soft, secure fit. The inline microphone and remote let you switch easily to calls on your Apple&#174; iPhone&#174;.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242500_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242500fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242500_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242500_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242500cv11d.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242500ld.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242500_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242500_s.gif,Black,249.99,249.99,63,3923,3947,4675,4530,0,1,1,1,4.7,1140,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
19,4242900,178176585392,Bose?,QUIETCOMFORT 20 HEADPHONES SMS,Bose? - QuietComfort? 20 Headphones (Android) - Black,Acoustic Noise Cancelling&#174; technology; TriPort&#174; technology; designed for use with select Samsung Galaxy devices; in-line microphone and remote; Aware mode; StayHear&#174;+ tips,These Bose&#174; QuietComfort&#174; 20 headphones feature Acoustic Noise Cancelling&#174; and an in-line microphone and remote for taking phone calls. Listen to surrounding sounds with Aware mode or lose yourself in the music.,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242900_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242900fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242900_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242900_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242900cv11d.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242900ld.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242900_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4242/4242900_s.gif,Black,249.99,249.99,63,7972,6922,8485,8186,0,1,1,1,4.7,1613,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
20,4295025,8.79E+11,Skullcandy,S6HSGY-374,Skullcandy - Hesh 2.0 Wired Over-the-Ear Headphones - Black/Gunmetal,Sound isolating; 50mm drivers; Supreme Sound technology; detachable cable; in-line remote with microphone,"Take your tunes on the go and listen with these Skullcandy Hesh 2.0 S6HSGY-374 headphones, which feature Supreme Sound technology for clear, natural audio and powerful bass. The flexible headband and padded ear cushions offer comfort during use.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4295/4295025fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4295/4295025_r.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4295/4295025_rb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4295/4295025_rd.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4295/4295025_ra.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4295/4295025_r.gif,Black/Gunmetal,59.99,59.99,63,7411,7717,8032,8020,0,0,0,1,4.5,2370,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
21,4331857,178177032842,Bose?,741158-0020,Bose? - SoundLink? Wireless Around-Ear Headphones II - White,Around-ear design; Bluetooth; HD Voice; microphone; enhanced EQ; rechargeable lithium-ion battery; carrying case,"Enjoy a better wireless experience with Bose&#174; SoundLink&#174; around-ear headphones II. Exclusive technology delivers deep, immersive sound at any volume. And a dual microphone system rejects noise and wind, so you'll be heard loud and clear. Switch seamlessly between 2 Bluetooth devices, and stay connected to both. And intuitive touch controls give you simple command of your music and calls.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331857_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331857fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331857_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331857_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331857cv11d.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331857ld.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331857_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331857_s.gif,White,229.99,229.99,63,1918,2033,2328,2258,0,1,1,1,4.7,3583,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
22,4331863,178177032772,Bose?,741158-0010,Bose? - SoundLink? Wireless Around-Ear Headphones II - Black,Around-ear design; Bluetooth; HD Voice; microphone; enhanced EQ; rechargeable lithium-ion battery; carrying case,"Enjoy a better wireless experience with Bose&#174; SoundLink&#174; around-ear headphones II. Exclusive technology delivers deep, immersive sound at any volume. And a dual microphone system rejects noise and wind, so you'll be heard loud and clear. Switch seamlessly between 2 Bluetooth devices, and stay connected to both. And intuitive touch controls give you simple command of your music and calls.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331863_sd.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331863fp.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331863_s.gif|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331863_sb.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331863cv11d.jpg|https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331863ld.jpg,test,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331863_sa.jpg,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4331/4331863_s.gif,Black,229.99,229.99,63,569,584,699,670,0,1,1,1,4.7,3583,21/01/2020 15:28,28/01/2020 14:26,Audio,Headphones,All Headphones,,
